25,3323,1396,****
24,3887, 61,****
23,4677, 33,*****
22,3724, 118,****
21,5077, 138,*****
20,5406, 390,*****
19,4748,1618,******
18,6654, 106,******
17,7003, 148,******
16,7585, 344,******
15,7363, 125,******
14,8609, 708,*******
13,8448, 131,*******
12,8863,1572,********
11,10103, 173,********
10,11591, 533,*********
 9,10848, 268,********
 8,12186, 790,*********
 7,13187, 568,**********
 6,19056,1043,**************
 5,21336,4103,*****************
 4,25080,1243,******************
 3,28611,2902,*********************
 2,34445,4489,**************************
 1,49153,13156,*****************************************
