25,10022,3348,****
24,13125, 862,*****
23,12667,2408,*****
22,14930,2886,*****
21,15424, 211,*****
20,12374,4583,******
19,16954,3126,******
18,23448,1696,*******
17,24348, 684,********
16,27737,3789,*********
15,32292,1781,**********
14,31650,3761,**********
13,32744,9794,************
12,40940,3271,************
11,41933,4473,*************
10,46002,10476,***************
 9,58248,1396,****************
 8,59819,4671,******************
 7,59408,5821,******************
 6,77717,2445,*********************
 5,82650,1751,***********************
 4,86935,10771,**************************
 3,105007,3413,****************************
 2,124869,3821,*********************************
 1,146773,10359,*****************************************
