25,2258,417,*****
24,2636, 18,******
23,2938,184,*******
22,2705,955,*******
21,3569,247,********
20,4042,203,********
19,3674,799,*********
18,4321, 40,*********
17,3897,104,********
16,4589,148,*********
15,4600, 37,*********
14,4571,216,*********
13,4630,241,*********
12,5729, 87,***********
11,3763,277,********
10,6572,135,*************
 9,7099,1394,****************
 8,9036,188,*****************
 7,9510,1200,********************
 6,11960,414,**********************
 5,11595,629,**********************
 4,12405,795,************************
 3,14683,1962,******************************
 2,15908,2139,********************************
 1,17829,5561,*****************************************
