25,2892,1501,***
24,3482, 107,***
23,3470,2096,***
22,3925,1151,***
21,4131, 267,***
20,4550, 150,****
19,5307, 995,****
18,6962, 449,*****
17,5607, 35,****
16,7947, 314,*****
15,5846, 311,****
14,10500, 675,******
13,10338, 746,******
12,12087,1345,*******
11,14455,1063,********
10,15535, 73,********
 9,15195,1146,********
 8,17486,1018,*********
 7,17849,4066,**********
 6,21640, 997,***********
 5,31305,1207,***************
 4,30799,1143,***************
 3,42327,2377,*********************
 2,55115,6646,****************************
 1,69909,19679,*****************************************
