25, 3044,1052,***
24, 4260,1334,***
23, 4502, 157,***
22, 3747,2548,***
21, 4701, 327,***
20, 4555, 739,***
19, 6251, 715,****
18, 4322, 667,***
17, 7381,1854,****
16, 7941,3572,*****
15, 9329, 373,*****
14,10842, 886,*****
13,12952,1727,******
12,13954,3556,*******
11,15668, 198,*******
10,17016,3127,********
 9,20813, 106,*********
 8,27292,1120,***********
 7,22405,5675,**********
 6,32505,1888,*************
 5,35383,1686,**************
 4,50660,4217,********************
 3,48512,6913,********************
 2,75716,8166,******************************
 1,100457,14268,*****************************************
