25,5092,995,*****
24,5717, 78,******
23,5655,933,*****
22,6412,142,******
21,6115, 84,******
20,7412,568,*******
19,8326,115,*******
18,7767,1586,********
17,9322,572,********
16,9686,928,********
15,10544,288,*********
14,9450,736,********
13,11160,1044,*********
12,12601,550,**********
11,12927,510,***********
10,13110,1464,************
 9,15791,462,*************
 8,18009,565,**************
 7,16501,4981,****************
 6,22699,1125,*****************
 5,25859,1548,*********************
 4,27806,3240,***********************
 3,24081,8647,************************
 2,39734,7119,*********************************
 1,47197,9754,*****************************************
